ID,description,longitude,latitude,imgp,imgc,imgo,imgf,imgg,icon
XW38,正大国际中心西侧正门,116.306125,39.990605,figure/taxa/XW38_L2_phylum.png,figure/taxa/XW38_L3_class.png,figure/taxa/XW38_L4_order.png,figure/taxa/XW38_L4_order.png,figure/taxa/XW38_L5_family.png,figure/taxa/XW38_L6_genus.png
XW39,燕南园工学院石碑,116.308314,39.98945,figure/taxa/XW39_L2_phylum.png,figure/taxa/XW39_L3_class.png,figure/taxa/XW39_L4_order.png,figure/taxa/XW39_L4_order.png,figure/taxa/XW39_L5_family.png,figure/taxa/XW39_L6_genus.png
XW40,二体东篮球场西侧物品存放柜柜门,116.308631,39.990695,figure/taxa/XW40_L2_phylum.png,figure/taxa/XW40_L3_class.png,figure/taxa/XW40_L4_order.png,figure/taxa/XW40_L4_order.png,figure/taxa/XW40_L5_family.png,figure/taxa/XW40_L6_genus.png
XW45,五四体育场西侧塑胶跑道,116.312769,39.987684,figure/taxa/XW45_L2_phylum.png,figure/taxa/XW45_L3_class.png,figure/taxa/XW45_L4_order.png,figure/taxa/XW45_L4_order.png,figure/taxa/XW45_L5_family.png,figure/taxa/XW45_L6_genus.png
XW46,学一食堂东区大理石桌面,116.308133,39.987526,figure/taxa/XW46_L2_phylum.png,figure/taxa/XW46_L3_class.png,figure/taxa/XW46_L4_order.png,figure/taxa/XW46_L4_order.png,figure/taxa/XW46_L5_family.png,figure/taxa/XW46_L6_genus.png
XW5,勺园学生宿舍，家@勺园立牌,116.30622,39.991711,figure/taxa/XW5_L2_phylum.png,figure/taxa/XW5_L3_class.png,figure/taxa/XW5_L4_order.png,figure/taxa/XW5_L4_order.png,figure/taxa/XW5_L5_family.png,figure/taxa/XW5_L6_genus.png
XW6,国际关系学院字碑,116.306559,39.991417,figure/taxa/XW6_L2_phylum.png,figure/taxa/XW6_L3_class.png,figure/taxa/XW6_L4_order.png,figure/taxa/XW6_L4_order.png,figure/taxa/XW6_L5_family.png,figure/taxa/XW6_L6_genus.png
XW7,佟园食堂门把手,116.306746,39.990992,figure/taxa/XW7_L2_phylum.png,figure/taxa/XW7_L3_class.png,figure/taxa/XW7_L4_order.png,figure/taxa/XW7_L4_order.png,figure/taxa/XW7_L5_family.png,figure/taxa/XW7_L6_genus.png
XW8,46楼自行车维修点集装箱,116.305717,39.98878,figure/taxa/XW8_L2_phylum.png,figure/taxa/XW8_L3_class.png,figure/taxa/XW8_L4_order.png,figure/taxa/XW8_L4_order.png,figure/taxa/XW8_L5_family.png,figure/taxa/XW8_L6_genus.png
XW9,家园食堂二层凳子,116.308154,39.98849,figure/taxa/XW9_L2_phylum.png,figure/taxa/XW9_L3_class.png,figure/taxa/XW9_L4_order.png,figure/taxa/XW9_L4_order.png,figure/taxa/XW9_L5_family.png,figure/taxa/XW9_L6_genus.png
XYY-1,北京市海淀区·北京大学,116.307237,39.995182,figure/taxa/XYY-1_L2_phylum.png,figure/taxa/XYY-1_L3_class.png,figure/taxa/XYY-1_L4_order.png,figure/taxa/XYY-1_L4_order.png,figure/taxa/XYY-1_L5_family.png,figure/taxa/XYY-1_L6_genus.png
YT-1,北京市海淀区·北京大学体育场,116.306019,39.993242,figure/taxa/YT-1_L2_phylum.png,figure/taxa/YT-1_L3_class.png,figure/taxa/YT-1_L4_order.png,figure/taxa/YT-1_L4_order.png,figure/taxa/YT-1_L5_family.png,figure/taxa/YT-1_L6_genus.png
